id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,kondisi_tanaman,luas_tanaman,satuan,tahun
164,32,JAWA BARAT,3201,KABUPATEN BOGOR,TM,38.0,HEKTAR,2015
165,32,JAWA BARAT,3201,KABUPATEN BOGOR,TR/TTM,3.0,HEKTAR,2015
166,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,TBM,459.0,HEKTAR,2015
167,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,TM,2792.0,HEKTAR,2015
168,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,TR/TTM,5066.0,HEKTAR,2015
169,32,JAWA BARAT,3203,KABUPATEN CIANJUR,TBM,1444.0,HEKTAR,2015
170,32,JAWA BARAT,3203,KABUPATEN CIANJUR,TM,7276.0,HEKTAR,2015
171,32,JAWA BARAT,3203,KABUPATEN CIANJUR,TR/TTM,5908.0,HEKTAR,2015
172,32,JAWA BARAT,3204,KABUPATEN BANDUNG,TBM,0.0,HEKTAR,2015
173,32,JAWA BARAT,3204,KABUPATEN BANDUNG,TM,1652.0,HEKTAR,2015
174,32,JAWA BARAT,3204,KABUPATEN BANDUNG,TR/TTM,49.0,HEKTAR,2015
175,32,JAWA BARAT,3205,KABUPATEN GARUT,TBM,320.0,HEKTAR,2015
176,32,JAWA BARAT,3205,KABUPATEN GARUT,TM,3049.0,HEKTAR,2015
177,32,JAWA BARAT,3205,KABUPATEN GARUT,TR/TTM,940.0,HEKTAR,2015
178,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,TBM,252.0,HEKTAR,2015
179,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,TM,6662.0,HEKTAR,2015
180,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,TR/TTM,2369.0,HEKTAR,2015
181,32,JAWA BARAT,3207,KABUPATEN CIAMIS,TBM,0.0,HEKTAR,2015
182,32,JAWA BARAT,3207,KABUPATEN CIAMIS,TM,75.0,HEKTAR,2015
183,32,JAWA BARAT,3207,KABUPATEN CIAMIS,TR/TTM,99.0,HEKTAR,2015
184,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,TBM,0.0,HEKTAR,2015
185,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,TM,0.0,HEKTAR,2015
186,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,TR/TTM,0.0,HEKTAR,2015
187,32,JAWA BARAT,3209,KABUPATEN CIREBON,TBM,0.0,HEKTAR,2015
188,32,JAWA BARAT,3209,KABUPATEN CIREBON,TM,0.0,HEKTAR,2015
189,32,JAWA BARAT,3209,KABUPATEN CIREBON,TR/TTM,0.0,HEKTAR,2015
190,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,TBM,145.0,HEKTAR,2015
191,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,TM,275.0,HEKTAR,2015
192,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,TR/TTM,253.0,HEKTAR,2015
193,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,TBM,24.0,HEKTAR,2015
194,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,TM,323.0,HEKTAR,2015
195,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,TR/TTM,178.0,HEKTAR,2015
196,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,TBM,0.0,HEKTAR,2015
197,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,TM,0.0,HEKTAR,2015
198,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,TR/TTM,0.0,HEKTAR,2015
199,32,JAWA BARAT,3213,KABUPATEN SUBANG,TBM,64.0,HEKTAR,2015
200,32,JAWA BARAT,3213,KABUPATEN SUBANG,TM,385.0,HEKTAR,2015
201,32,JAWA BARAT,3213,KABUPATEN SUBANG,TR/TTM,84.0,HEKTAR,2015
202,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,TBM,524.0,HEKTAR,2015
203,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,TM,3881.0,HEKTAR,2015
204,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,TR/TTM,110.0,HEKTAR,2015
205,32,JAWA BARAT,3215,KABUPATEN KARAWANG,TBM,0.0,HEKTAR,2015
206,32,JAWA BARAT,3215,KABUPATEN KARAWANG,TM,0.0,HEKTAR,2015
207,32,JAWA BARAT,3215,KABUPATEN KARAWANG,TR/TTM,0.0,HEKTAR,2015
208,32,JAWA BARAT,3216,KABUPATEN BEKASI,TBM,0.0,HEKTAR,2015
209,32,JAWA BARAT,3216,KABUPATEN BEKASI,TM,0.0,HEKTAR,2015
210,32,JAWA BARAT,3216,KABUPATEN BEKASI,TR/TTM,0.0,HEKTAR,2015
211,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,TBM,108.0,HEKTAR,2015
212,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,TM,1297.0,HEKTAR,2015
213,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,TR/TTM,106.0,HEKTAR,2015
214,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,TBM,0.0,HEKTAR,2015
215,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,TM,0.0,HEKTAR,2015
216,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,TR/TTM,0.0,HEKTAR,2015
217,32,JAWA BARAT,3271,KOTA BOGOR,TBM,0.0,HEKTAR,2015
218,32,JAWA BARAT,3271,KOTA BOGOR,TM,0.0,HEKTAR,2015
219,32,JAWA BARAT,3271,KOTA BOGOR,TR/TTM,0.0,HEKTAR,2015
220,32,JAWA BARAT,3272,KOTA SUKABUMI,TBM,0.0,HEKTAR,2015
221,32,JAWA BARAT,3272,KOTA SUKABUMI,TM,0.0,HEKTAR,2015
222,32,JAWA BARAT,3272,KOTA SUKABUMI,TR/TTM,0.0,HEKTAR,2015
223,32,JAWA BARAT,3273,KOTA BANDUNG,TBM,0.0,HEKTAR,2015
224,32,JAWA BARAT,3273,KOTA BANDUNG,TM,0.0,HEKTAR,2015
225,32,JAWA BARAT,3273,KOTA BANDUNG,TR/TTM,0.0,HEKTAR,2015
226,32,JAWA BARAT,3274,KOTA CIREBON,TBM,0.0,HEKTAR,2015
227,32,JAWA BARAT,3274,KOTA CIREBON,TM,0.0,HEKTAR,2015
228,32,JAWA BARAT,3274,KOTA CIREBON,TR/TTM,0.0,HEKTAR,2015
229,32,JAWA BARAT,3275,KOTA BEKASI,TBM,0.0,HEKTAR,2015
230,32,JAWA BARAT,3275,KOTA BEKASI,TM,0.0,HEKTAR,2015
231,32,JAWA BARAT,3275,KOTA BEKASI,TR/TTM,0.0,HEKTAR,2015
232,32,JAWA BARAT,3276,KOTA DEPOK,TBM,0.0,HEKTAR,2015
233,32,JAWA BARAT,3276,KOTA DEPOK,TM,0.0,HEKTAR,2015
234,32,JAWA BARAT,3276,KOTA DEPOK,TR/TTM,0.0,HEKTAR,2015
235,32,JAWA BARAT,3277,KOTA CIMAHI,TBM,0.0,HEKTAR,2015
236,32,JAWA BARAT,3277,KOTA CIMAHI,TM,0.0,HEKTAR,2015
237,32,JAWA BARAT,3277,KOTA CIMAHI,TR/TTM,0.0,HEKTAR,2015
238,32,JAWA BARAT,3278,KOTA TASIKMALAYA,TBM,0.0,HEKTAR,2015
239,32,JAWA BARAT,3278,KOTA TASIKMALAYA,TM,0.0,HEKTAR,2015
240,32,JAWA BARAT,3278,KOTA TASIKMALAYA,TR/TTM,0.0,HEKTAR,2015
241,32,JAWA BARAT,3279,KOTA BANJAR,TBM,0.0,HEKTAR,2015
242,32,JAWA BARAT,3279,KOTA BANJAR,TM,0.0,HEKTAR,2015
243,32,JAWA BARAT,3279,KOTA BANJAR,TR/TTM,0.0,HEKTAR,2015
244,32,JAWA BARAT,3201,KABUPATEN BOGOR,TBM,2.0,HEKTAR,2016
245,32,JAWA BARAT,3201,KABUPATEN BOGOR,TM,38.0,HEKTAR,2016
246,32,JAWA BARAT,3201,KABUPATEN BOGOR,TR/TTM,3.0,HEKTAR,2016
247,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,TBM,259.0,HEKTAR,2016
248,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,TM,2792.0,HEKTAR,2016
249,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,TR/TTM,5266.0,HEKTAR,2016
250,32,JAWA BARAT,3203,KABUPATEN CIANJUR,TBM,1456.0,HEKTAR,2016
